index,timestamp,input_token_length,output_token_length,jct,ttft,tbt
4402,1421.876303,1494,9,1.4561545848846436,0.1351323127746582,0.13210222721099854
4403,1421.8819,1047,8,1.3781113624572754,0.13050246238708496,0.13862321111891004
4404,1421.977683,1049,9,1.3976118564605713,0.09353232383728027,0.1304079532623291
4405,1421.977838,766,63,6.045196056365967,0.09291219711303711,0.09300443530082703
4406,1421.979009,913,8,1.35392427444458,0.09224772453308105,0.1401862833234999
4407,1421.981233,506,208,10.213854551315308,0.09073734283447266,0.04866883273308094
4408,1422.080546,6162,16,3.8073885440826416,0.15700745582580566,0.21472829930922566
4409,1422.173332,1710,14,2.775663375854492,0.06952166557312012,0.18040944735209147
4410,1422.194875,4623,92,6.7990264892578125,0.14299416542053223,0.07157024004126109
4411,1422.195069,1495,9,1.2569036483764648,0.1423664093017578,0.1114537239074707
4412,1422.195214,913,14,2.7531230449676514,0.14191436767578125,0.17408057848612468
4413,1422.277904,1495,7,1.0973396301269531,0.09687542915344238,0.12505802512168884
4414,1422.378378,240,12,1.3015408515930176,0.06279182434082031,0.09528838671170749
4415,1422.379853,505,45,5.127253770828247,0.14109516143798828,0.1083947523780491
4416,1422.380069,1122,8,1.0719115734100342,0.14056110382080078,0.10348338550991482
4417,1422.380833,2534,10,1.140944004058838,0.13984036445617676,0.0910094217820601
4418,1422.380849,1076,7,1.0236382484436035,0.13937163352966309,0.11053332686424255
4419,1422.478699,7437,21,4.1191725730896,0.09629940986633301,0.18285787105560303
4420,1422.481562,1037,49,5.172892332077026,0.1628432273864746,0.10020098209381104
4421,1422.576227,1712,7,0.8285176753997803,0.06881284713745117,0.09496310353279114
4422,1422.579326,7436,7,0.8751480579376221,0.21061444282531738,0.08306670188903809
4423,1422.580299,2536,66,5.6737120151519775,0.2098240852355957,0.08278618075630882
4424,1422.581486,1077,8,0.9027154445648193,0.20891237258911133,0.0867253839969635
4425,1422.68035,914,9,0.8411474227905273,0.25601887702941895,0.05851285457611084
4426,1422.680406,1888,7,0.7727408409118652,0.2552649974822998,0.06468448042869568
4427,1422.681885,4050,18,3.826773166656494,0.25440144538879395,0.1880195642772474
4428,1422.683562,1723,19,3.8927271366119385,0.2532031536102295,0.18197619915008545
4429,1422.683807,505,26,4.043968677520752,0.2526829242706299,0.14041799086111564
4430,1422.877945,175,11,2.070059299468994,0.19102907180786133,0.1565858523050944
4431,1422.878008,4623,115,6.8768630027771,0.19032883644104004,0.05764253591669017
4432,1422.878787,914,6,0.5741293430328369,0.189622163772583,0.05492959703717913
4433,1422.881602,2927,9,0.7948470115661621,0.18822550773620605,0.06740238931443956
4434,1422.980913,1077,10,0.6983957290649414,0.13882112503051758,0.050870418548583984
4435,1423.079518,1050,18,3.4962899684906006,0.10265851020812988,0.17861218201486687
4436,1423.081362,535,6,0.3730144500732422,0.10164690017700195,0.038766792842320034
4437,1423.085545,1568,53,4.777228593826294,0.09718656539916992,0.08666744497087267
4438,1423.085653,914,9,0.5901699066162109,0.09663772583007812,0.04935321807861328
4439,1423.177001,768,8,0.49922943115234375,0.0837697982788086,0.046162181430392794
4440,1423.477767,133,15,3.1816108226776123,0.07830047607421875,0.1939568966627121
4441,1423.482985,1882,55,4.672825574874878,0.07390737533569336,0.08361669453707608
4442,1423.574213,4496,9,3.001213788986206,0.13041353225708008,0.2870800256729126
4443,1423.576991,987,7,2.616800308227539,0.2529289722442627,0.29548391699790955
4444,1423.577185,2127,73,5.20782995223999,0.2524223327636719,0.06696496783076106
4445,1423.579183,1727,17,3.1979191303253174,0.2508728504180908,0.16372479332817924
4446,1423.58099,7436,11,3.041848659515381,0.24918365478515625,0.2327220837275187
4447,1423.677873,602,62,4.7707200050354,0.15212202072143555,0.07331107911609468
4448,1423.679907,1714,6,2.45743989944458,0.4061269760131836,0.29304470334734234
4449,1423.681032,7435,9,2.8963444232940674,0.4054880142211914,0.2490856409072876
4450,1423.682084,987,8,2.82704496383667,0.4037611484527588,0.269253757264879
4451,1423.775529,2643,20,3.1453816890716553,0.3107869625091553,0.13498070126488096
4452,1423.777521,1897,7,2.416142225265503,0.3087637424468994,0.26342231035232544
4453,1423.77755,351,6,2.360276460647583,0.30824708938598633,0.29314705303737093
4454,1423.778565,1417,33,3.6940817832946777,0.30771851539611816,0.09959891964407529
4455,1423.779621,508,44,4.084090709686279,0.30722498893737793,0.08393034934997559
4456,1423.781555,1078,37,3.837752103805542,0.3050704002380371,0.09296530798861855
4457,1423.87334,1714,6,2.265232801437378,0.26038217544555664,0.2864072322845459
4458,1423.879351,1896,8,2.6300888061523438,0.2544713020324707,0.26395750045776367
4459,1423.881571,1049,7,2.312455415725708,0.2534513473510742,0.2573755085468292
4460,1423.977005,7436,9,2.599788188934326,0.1571199893951416,0.24426681995391847
4461,1423.97893,1081,12,2.6651854515075684,0.3453369140625,0.17844988749577448
4462,1423.978986,2844,36,3.601485013961792,0.34485411643981934,0.08801705128437765
4463,1423.980368,1359,10,2.6189069747924805,0.3457527160644531,0.20665038715709338
4464,1423.980503,1419,6,2.158140182495117,0.34537458419799805,0.2589665140424456
4465,1423.981544,7435,10,2.6175811290740967,0.34419918060302734,0.20667108622464267
4466,1423.984533,1232,14,2.677680015563965,0.3414137363433838,0.15575108528137208
4467,1424.078829,2773,28,3.2015023231506348,0.24724149703979492,0.1018710629693393
4468,1424.079604,134,7,2.1136231422424316,0.2461991310119629,0.2334280014038086
4469,1424.07968,5226,11,2.54248046875,0.391463041305542,0.17925145228703818
4470,1424.081762,1081,11,2.5404317378997803,0.3895134925842285,0.1792431871096293
4471,1424.274254,1078,16,2.4543423652648926,0.19821977615356445,0.13271309347713695
4472,1424.27863,669,9,2.2992494106292725,0.1936180591583252,0.21056313514709474
